boliga_id;address1;address2;zipcode;list_price;living_area;lot_area;rooms;floors;construction_date;energy_rating;taxes_pr_month;bsmnt_area;station_dist_km;created_date;market_days;url;gmaps
1699765;Tagesmindevej 14; 2820 Gentofte;2820;22650000.0;297.0;1816.0;9.0;0.0;1900.0;D;13434.0;152.0;;2020-09-02 00:00:00;158;https://www.boliga.dk/bolig/1699765;https://maps.google.com/?q=55.751625,12.55105
1699100;Sydskrænten 5; 3400 Hillerød;3400;2145000.0;102.0;932.0;3.0;0.0;1960.0;D;2919.0;0.0;;2020-08-31 00:00:00;160;https://www.boliga.dk/bolig/1699100;https://maps.google.com/?q=55.81932,12.495611
1699229;Bjerggårdsvænget 5; 2840 Holte;2840;6695000.0;195.0;1125.0;5.0;0.0;1968.0;F;6989.0;53.0;;2020-08-31 00:00:00;160;https://www.boliga.dk/bolig/1699229;https://maps.google.com/?q=55.841292,12.503389
1699063;Nedenomsvej 10; 2970 Hørsholm;2970;11900000.0;228.0;732.0;6.0;0.0;1962.0;D;6053.0;35.0;;2020-08-31 00:00:00;160;https://www.boliga.dk/bolig/1699063;https://maps.google.com/?q=55.857301,12.478826
1698905;Lynghøjvej 3; 3540 Lynge;3540;3395000.0;163.0;985.0;6.0;0.0;1962.0;C;4230.0;0.0;;2020-08-29 00:00:00;162;https://www.boliga.dk/bolig/1698905;https://maps.google.com/?q=55.840949,12.276967
1698612;Skodsborg Strandvej 81; 2942 Skodsborg;2942;13250000.0;192.0;923.0;5.0;0.0;1917.0;E;8565.0;42.0;;2020-08-28 00:00:00;163;https://www.boliga.dk/bolig/1698612;https://maps.google.com/?q=55.81465,12.574668
1698044;Midtervej 2; 2630 Taastrup;2630;2895000.0;112.0;805.0;4.0;0.0;1964.0;D;3141.0;0.0;;2020-08-27 00:00:00;164;https://www.boliga.dk/bolig/1698044;https://maps.google.com/?q=55.230663,9.115769
1698033;Gammel Bygade 91; 2630 Taastrup;2630;7900000.0;307.0;5256.0;7.0;0.0;1850.0;D;7766.0;0.0;;2020-08-27 00:00:00;164;https://www.boliga.dk/bolig/1698033;https://maps.google.com/?q=55.647919,12.240545
1697407;Vildrosevej 25  3500 Værløse; 3500 Værløse;3500;9475000.0;199.0;1020.0;6.0;0.0;2004.0;C;7257.0;0.0;3.34;2020-08-26 00:00:00;165;https://www.boliga.dk/bolig/1697407;https://maps.google.com/?q=55.758713,12.405361
1696996;Kollerød Bygade 16  3450 Allerød; 3450 Allerød;3450;2165000.0;75.0;517.0;3.0;0.0;1810.0;B;2545.0;0.0;3,66;2020-08-25;166;https://www.boliga.dk/bolig/1696996;https://maps.google.com/?q=55.872403,12.298818
1696935;Vilhelm Bergsøes Alle 22A; 2860 Søborg;2860;6995000.0;139.0;370.0;5.0;0.0;2017.0;A10;2401.0;0.0;;2020-08-25 00:00:00;166;https://www.boliga.dk/bolig/1696935;https://maps.google.com/?q=55.735338,12.516657
1696729;Himmelev Bygade 13; Himmelev;4000;3695000.0;113.0;567.0;4.0;0.0;1877.0;C;3728.0;0.0;;2020-08-24 00:00:00;167;https://www.boliga.dk/bolig/1696729;https://maps.google.com/?q=55.658806,12.107663
1696792;Lyngevej 138; 3450 Allerød;3450;5095000.0;140.0;1148.0;4.0;0.0;1962.0;D;4356.0;0.0;2,03;2020-08-24;167;https://www.boliga.dk/bolig/1696792;https://maps.google.com/?q=55.857419,12.3384
1696836;Bjergbyvej 21; 2730 Herlev;2730;5295000.0;138.0;730.0;5.0;0.0;1964.0;C;4411.0;101.0;;2020-08-24 00:00:00;167;https://www.boliga.dk/bolig/1696836;https://maps.google.com/?q=56.750206,8.987301
1696895;Damgårdsvej 15; 3460 Birkerød;3460;7995000.0;200.0;561.0;6.0;0.0;1934.0;D;8234.0;45.0;179.16;2020-08-24 00:00:00;167;https://www.boliga.dk/bolig/1696895;https://maps.google.com/?q=55.885694,9.563305
1696789;Skovhegnet 5; 2920 Charlottenlund;2920;13500000.0;204.0;812.0;5.0;0.0;1989.0;C;8891.0;0.0;;2020-08-24 00:00:00;167;https://www.boliga.dk/bolig/1696789;https://maps.google.com/?q=56.070163,12.527464
1696700;Hørvænget 3; 2630 Taastrup;2630;4295000.0;171.0;788.0;7.0;0.0;1933.0;D;3665.0;99.0;;2020-08-23 00:00:00;168;https://www.boliga.dk/bolig/1696700;https://maps.google.com/?q=56.685004,9.074825
1696673;P. Mogensensvej 27; 3400 Hillerød;3400;5295000.0;148.0;654.0;5.0;0.0;1929.0;C;3347.0;0.0;;2020-08-23 00:00:00;168;https://www.boliga.dk/bolig/1696673;https://maps.google.com/?q=55.926659,12.295416
1696632;Virumvej 6; 2830 Virum;2830;6495000.0;126.0;560.0;5.0;0.0;1934.0;D;4228.0;63.0;1.18;2020-08-23 00:00:00;168;https://www.boliga.dk/bolig/1696632;https://maps.google.com/?q=55.789004,12.485704
1696053;Lupinmarken 14B; 2880 Bagsværd;2880;3800000.0;116.0;1225.0;4.0;0.0;1977.0;D;2776.0;0.0;;2020-08-21 00:00:00;170;https://www.boliga.dk/bolig/1696053;https://maps.google.com/?q=55.750772,12.475528
1696150;Sandbjergvej 6A; 2970 Hørsholm;2970;5700000.0;237.0;2190.0;6.0;0.0;2019.0;A10;6814.0;0.0;;2020-08-21 00:00:00;170;https://www.boliga.dk/bolig/1696150;https://maps.google.com/?q=55.851949,12.501098
1695965;Huldbergs Alle 50; 2800 Kongens Lyngby;2800;4195000.0;165.0;882.0;6.0;0.0;1951.0;D;4596.0;72.0;2.36;2020-08-20 00:00:00;171;https://www.boliga.dk/bolig/1695965;https://maps.google.com/?q=55.75161,12.479942
1695193;Gammel Vindingevej 13; 4000 Roskilde;4000;2795000.0;49.0;704.0;1.0;0.0;1956.0;D;3113.0;49.0;;2020-08-19 00:00:00;172;https://www.boliga.dk/bolig/1695193;https://maps.google.com/?q=55.635309,12.111497
1695495;Ringøvej 14; 4000 Roskilde;4000;3975000.0;99.0;646.0;4.0;0.0;1964.0;D;4158.0;63.0;;2020-08-19 00:00:00;172;https://www.boliga.dk/bolig/1695495;https://maps.google.com/?q=55.678032,12.074465
1695355;Biskop Svanes Vej 23  3460 Birkerød; 3460 Birkerød;3460;6995000.0;238.0;2749.0;9.0;0.0;1878.0;E;11477.0;9.0;1.47;2020-08-19 00:00:00;172;https://www.boliga.dk/bolig/1695355;https://maps.google.com/?q=55.846658,12.444519
1695130;Mothsvej 30; Søllerød;2840;16500000.0;213.0;971.0;6.0;0.0;2009.0;A10;9702.0;110.0;;2020-08-19 00:00:00;172;https://www.boliga.dk/bolig/1695130;https://maps.google.com/?q=55.810471,12.499528
1694965;Nordvanggårdsvej 40; 3460 Birkerød;3460;5995000.0;269.0;1310.0;7.0;0.0;1976.0;C;7117.0;0.0;1.53;2020-08-18 00:00:00;173;https://www.boliga.dk/bolig/1694965;https://maps.google.com/?q=55.827058,12.428325
1693654;Odysseus Alle 2; 2650 Hvidovre;2650;4993000.0;175.0;647.0;6.0;0.0;1935.0;D;4950.0;0.0;;2020-08-14 00:00:00;177;https://www.boliga.dk/bolig/1693654;https://maps.google.com/?q=55.633554,12.479918
1693855;Furesøhøj 7  2830 Virum; 2830 Virum;2830;23995000.0;252.0;1372.0;6.0;0.0;1996.0;B;18201.0;47.0;2.28;2020-08-14 00:00:00;177;https://www.boliga.dk/bolig/1693855;https://maps.google.com/?q=55.797838,12.435522
1692951;Soderupvej 104; Ågerup;4000;2700000.0;150.0;1155.0;4.0;0.0;1880.0;F;2666.0;0.0;;2020-08-13 00:00:00;178;https://www.boliga.dk/bolig/1692951;https://maps.google.com/?q=55.68914,12.175028
1692957;Dønnegårdsvej 10B; Nørre Herlev;3400;3445000.0;156.0;832.0;5.0;0.0;1984.0;E;3664.0;0.0;;2020-08-13 00:00:00;178;https://www.boliga.dk/bolig/1692957;https://maps.google.com/?q=55.889976,12.275722
1692952;Lønbjergparken 29; Vindinge;4000;4100000.0;206.0;832.0;6.0;0.0;1972.0;D;4228.0;0.0;;2020-08-13 00:00:00;178;https://www.boliga.dk/bolig/1692952;https://maps.google.com/?q=55.620083,12.132197
1693010;Dalbugten 6; 2730 Herlev;2730;5998000.0;138.0;720.0;8.0;0.0;1967.0;D;4498.0;138.0;;2020-08-13 00:00:00;178;https://www.boliga.dk/bolig/1693010;https://maps.google.com/?q=55.735123,12.415072
1693102;Kæmpehøjvej 4; 2950 Vedbæk;2950;20750000.0;232.0;32472.0;6.0;0.0;1936.0;C;7222.0;52.0;;2020-08-13 00:00:00;178;https://www.boliga.dk/bolig/1693102;https://maps.google.com/?q=55.851277,12.516309
1692546;Møllestensvej 22; 2625 Vallensbæk;2625;4495000.0;158.0;808.0;6.0;0.0;1986.0;C;5069.0;94.0;;2020-08-12 00:00:00;179;https://www.boliga.dk/bolig/1692546;https://maps.google.com/?q=56.452212,10.040783
1692264;Vasevej 75; 3460 Birkerød;3460;5499000.0;279.0;1182.0;8.0;0.0;1933.0;D;6011.0;74.0;1.91;2020-08-11 00:00:00;180;https://www.boliga.dk/bolig/1692264;https://maps.google.com/?q=55.828028,12.444453
1691824;Mågevej 18; 4000 Roskilde;4000;3450000.0;104.0;769.0;5.0;0.0;1933.0;D;3478.0;0.0;;2020-08-10 00:00:00;181;https://www.boliga.dk/bolig/1691824;https://maps.google.com/?q=56.545792,10.373172
